"species","genus","family","garden"
"Abelia mosanensis","Zabelia","Caprifoliaceae","fr"
"Abeliophyllum distichum","Abeliophyllum","Oleaceae","fr"
"Abelmoschus esculentus","Abelmoschus","Malvaceae","fr"
"Abelmoschus manihot","Abelmoschus","Malvaceae","fr"
"Abelmoschus moschatus","Abelmoschus","Malvaceae","fr"
"Abies alba","Abies","Pinaceae","fr"
"Abies koreana","Abies","Pinaceae","fr"
"Abies nordmanniana","Abies","Pinaceae","fr"
"Abies numidica","Abies","Pinaceae","fr"
"Abies pinsapo","Abies","Pinaceae","fr"
"Abies procera","Abies","Pinaceae","fr"
"Abroma augustum","Abroma","Malvaceae","fr"
"Abrus precatorius","Abrus","Fabaceae","fr"
"Abrus precatorius","Abrus","Fabaceae","fr"
"Abutilon grandifolium","Abutilon","Malvaceae","fr"
"Abutilon theophrasti","Abutilon","Malvaceae","fr"
"Acacia karroo","Vachellia","Fabaceae","fr"
"Acacia senegal","Senegalia","Fabaceae","fr"
"Acaena buchananii","Acaena","Rosaceae","fr"
"Acaena ovina","Acaena","Rosaceae","fr"
"Acaena microphylla","Acaena","Rosaceae","fr"
"Acaena ovina","Acaena","Rosaceae","fr"
"Acaena pinnatifida","Acaena","Rosaceae","fr"
"Acalypha hispida","Acalypha","Euphorbiaceae","fr"
"Acantholimon armenum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon armenum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon glumaceum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon glumaceum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon olivieri","Acantholimon","Plumbaginaceae","fr"
"Acantholimon ulicinum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon ulicinum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon ulicinum","Acantholimon","Plumbaginaceae","fr"
"Acantholimon venustum","Acantholimon","Plumbaginaceae","fr"
"Acanthus hungaricus","Acanthus","Acanthaceae","fr"
"Acanthus montanus","Acanthus","Acanthaceae","fr"
"Acanthus spinosus","Acanthus","Acanthaceae","fr"
"Acer buergerianum","Acer","Sapindaceae","fr"
"Acer campestre","Acer","Sapindaceae","fr"
"Acer capillipes","Acer","Sapindaceae","fr"
"Acer cappadocicum","Acer","Sapindaceae","fr"
"Acer carpinifolium","Acer","Sapindaceae","fr"
"Acer cissifolium","Acer","Sapindaceae","fr"
"Acer davidii","Acer","Sapindaceae","fr"
"Acer griseum","Acer","Sapindaceae","fr"
"Acer hyrcanum","Acer","Sapindaceae","fr"
"Acer japonicum","Acer","Sapindaceae","fr"
"Acer mono","Acer","Sapindaceae","fr"
"Acer monspessulanum","Acer","Sapindaceae","fr"
"Acer negundo","Acer","Sapindaceae","fr"
"Acer opalus","Acer","Sapindaceae","fr"
"Acer palmatum","Acer","Sapindaceae","fr"
"Acer palmatum","Acer","Sapindaceae","fr"
"Acer palmatum","Acer","Sapindaceae","fr"
"Acer platanoides","Acer","Sapindaceae","fr"
"Acer pseudoplatanus","Acer","Sapindaceae","fr"
"Acer rufinerve","Acer","Sapindaceae","fr"
"Acer saccharinum","Acer","Sapindaceae","fr"
"Acer saccharum","Acer","Sapindaceae","fr"
"Acer saccharum","Acer","Sapindaceae","fr"
"Acer sempervirens","Acer","Sapindaceae","fr"
"Acer tataricum","Acer","Sapindaceae","fr"
"Acer tataricum","Acer","Sapindaceae","fr"
"Achillea clypeolata","Achillea","Asteraceae","fr"
"Achillea collina","Achillea","Asteraceae","fr"
"Achillea collina","Achillea","Asteraceae","fr"
"Achillea filipendulina","Achillea","Asteraceae","fr"
"Achillea macrophylla","Achillea","Asteraceae","fr"
"Achillea macrophylla","Achillea","Asteraceae","fr"
"Achillea millefolium","Achillea","Asteraceae","fr"
"Achillea millefolium","Achillea","Asteraceae","fr"
"Achillea nobilis","Achillea","Asteraceae","fr"
"Achillea ptarmica","Achillea","Asteraceae","fr"
"Achillea sericea","Achillea","Asteraceae","fr"
"Achillea setacea","Achillea","Asteraceae","fr"
"Achillea tomentosa","Achillea","Asteraceae","fr"
"Achillea umbellata","Achillea","Asteraceae","fr"
"Achimenes erecta","Achimenes","Gesneriaceae","fr"
"Achnatherum calamagrostis","Achnatherum","Poaceae","fr"
"Acinos alpinus","Clinopodium","Lamiaceae","fr"
"Acinos arvensis","Clinopodium","Lamiaceae","fr"
"Acis rosea","Acis","Amaryllidaceae","fr"
"Acis valentina","Acis","Amaryllidaceae","fr"
"Acmella oleracea","Acmella","Asteraceae","fr"
"Acmella oleracea","Acmella","Asteraceae","fr"
"Aconitum anthora","Aconitum","Ranunculaceae","fr"
"Aconitum anthora","Aconitum","Ranunculaceae","fr"
"Aconitum carmichaelii","Aconitum","Ranunculaceae","fr"
"Aconitum vulparia","Aconitum","Ranunculaceae","fr"
"Aconitum forrestii","Aconitum","Ranunculaceae","fr"
